ref_date;INTERVAL;50;100;200;250;500;1000;1500;2000;2500;5000;total_lending
01/01/2020;0;9907;18380;7358;8014;3992;566;140;7;58;1;4538751.0
01/01/2020;1;3561;6768;2130;2702;1421;192;32;9;14;0;4538956.0
01/01/2020;2;1900;3901;1115;1403;696;94;16;3;8;0;4542907.0
01/01/2020;3;1190;2262;610;851;415;64;16;1;5;1;4543038.0
01/01/2020;4;878;1636;467;595;304;52;9;0;3;0;4540534.0
01/01/2020;5;1378;2502;860;964;472;77;12;1;9;1;4540053.0
01/01/2020;6;3616;7124;3374;3455;1818;293;74;5;16;4;4539104.0
01/01/2020;7;5161;10542;5350;6040;3287;535;122;3;41;2;4539043.0
01/01/2020;8;5063;10914;5389;6253;3593;572;121;3;64;3;4539183.0
01/01/2020;9;5181;11146;5402;6391;3697;572;130;7;55;4;4540372.0
01/01/2020;10;5000;10839;5176;6363;3576;542;120;8;54;1;4541603.0
01/01/2020;11;4965;10983;5009;6194;3526;556;128;8;55;3;4539451.0
01/01/2020;12;5154;11308;5008;5981;3378;518;113;5;59;2;4537986.0
01/01/2020;13;5110;11244;5010;5759;3204;518;85;7;56;4;4538253.0
01/01/2020;14;5561;12019;5055;5814;3112;480;108;8;46;2;4540771.0
01/01/2020;15;5490;12145;4981;5751;3023;449;116;7;39;0;4538739.0
01/01/2020;16;5782;12572;5353;6008;3117;455;90;4;42;7;4536887.0
01/01/2020;17;6130;13253;5422;6232;3219;503;138;7;48;3;4537258.0
01/01/2020;18;7319;15848;6316;7101;3796;527;115;9;46;1;4537010.0
01/01/2020;19;8967;17420;6937;7589;3750;558;132;8;57;3;4539344.0
01/01/2020;20;8459;15268;5641;6335;3255;439;102;6;41;2;4537621.0
01/01/2020;21;6861;12805;4355;5043;2351;367;73;4;27;0;4540834.0
01/01/2020;22;4694;9223;2676;3379;1579;231;50;7;16;2;4539374.0
01/01/2020;23;2980;5702;1491;2060;953;122;27;5;12;0;4541054.0
02/01/2020;0;1765;3364;964;1117;567;74;14;1;3;0;4537719.0
02/01/2020;1;1026;1951;485;632;328;36;9;2;5;0;4540247.0
02/01/2020;2;821;1392;342;431;217;25;5;0;1;0;4539848.0
02/01/2020;3;594;1023;249;332;157;21;6;0;2;2;4539998.0
02/01/2020;4;504;982;219;316;174;21;3;0;1;0;4538844.0
02/01/2020;5;710;1471;369;510;262;49;12;0;3;0;4540430.0
02/01/2020;6;2081;4550;1485;1669;1006;162;25;2;14;1;4540348.0
02/01/2020;7;3825;8463;3248;3704;2231;353;82;7;34;3;4537277.0
02/01/2020;8;4491;10619;4446;5009;3016;486;122;7;63;3;4539347.0
02/01/2020;9;5124;11724;4831;6020;3513;566;138;10;85;6;4535781.0
02/01/2020;10;5377;12242;5115;6119;3629;596;127;6;75;5;4539352.0
02/01/2020;11;5241;11921;4770;5908;3343;566;135;4;59;11;4535435.0
02/01/2020;12;5075;11644;4518;5626;3148;493;89;8;56;3;4538022.0
02/01/2020;13;5050;10942;4304;5321;3070;490;106;3;56;1;4536173.0
02/01/2020;14;4847;10908;4169;5127;2844;464;96;6;61;3;4536684.0
02/01/2020;15;4949;10994;4328;5061;2879;452;113;7;61;3;4541274.0
02/01/2020;16;5279;11625;4601;5351;2973;478;91;8;56;5;4535553.0
